strike,symbol,right,multiplier,expiration,bid,ask,undPrice,modelDelta,modelGamma,modelIV,modelPrice,modelTheta,modelVega
100,AAPL,P,100,20220520,,,145.6900024,-0.000212019,4.98E-05,1.048321003,0.000881402,-0.000881402,0.000114698
105,AAPL,P,100,20220520,,,145.6999969,-0.000626173,0.000143499,0.993517129,0.002648212,-0.002648212,0.000390084
110,AAPL,P,100,20220520,,,145.5700073,-0.001944741,0.000425603,0.952719675,0.008522817,-0.008522817,0.001177635
115,AAPL,P,100,20220520,,,145.5700073,-0.003095332,0.000732209,0.840439394,0.012447601,-0.012447601,0.001347742
120,AAPL,P,100,20220520,,,145.5899963,-0.005010285,0.001295436,0.731094031,0.01826275,-0.01826275,0.002344323
125,AAPL,P,100,20220520,,,145.6000061,-0.011778927,0.003069208,0.658195033,0.041910232,-0.038571962,0.005294681
130,AAPL,P,100,20220520,,,145.6100006,-0.030359737,0.007655911,0.589765577,0.108830188,-0.077234715,0.009347113
135,AAPL,P,100,20220520,,,145.5200043,-0.083210993,0.01899718,0.529939544,0.315524144,-0.154465845,0.025095019
140,AAPL,P,100,20220520,,,145.5200043,-0.21775675,0.039442254,0.4912115,0.959362827,-0.275290089,0.04671267
145,AAPL,P,100,20220520,,,145.5549927,-0.457817595,0.057656177,0.452647252,2.479407879,-0.34118584,0.060529234
150,AAPL,P,100,20220520,,,145.6399994,-0.744480445,0.051109491,0.413861081,5.300630549,-0.251626709,0.048495285
155,AAPL,P,100,20220520,9.3,9.45,145.6513062,-0.927050939,0.02274011,0.403687886,9.537562161,-0.10421648,0.020314767
160,AAPL,P,100,20220520,,,145.6517029,-0.98542526,0.006250129,0.413411593,14.37471335,-0.026416236,0.006611233
165,AAPL,P,100,20220520,,,145.6699982,-0.996962305,0.001836499,0.44856901,19.33337837,-0.003376539,0.001373757
170,AAPL,P,100,20220520,,,145.5749969,-0.997744005,0.001220507,0.539999147,24.42779023,-0.002787174,0.001242651
175,AAPL,P,100,20220520,,,145.5334015,-0.999081983,0.000676739,0.602178808,29.4673695,-0.00077099,0.000550382
180,AAPL,P,100,20220520,,,145.5299988,-1,-1.00E-14,0.603004469,34.47000122,3.55E-13,4.26E-13
185,AAPL,P,100,20220520,,,145.5,-1,-3.52E-15,0.621193578,39.5,0,5.68E-14
190,AAPL,P,100,20220520,,,145.4199982,-1,3.22E-15,0.656428209,44.58000183,0,-1.22E-12
195,AAPL,P,100,20220520,,,145.3444977,-1,-9.38E-15,0.618356856,49.65550232,0,-1.14E-13
100,AAPL,P,100,20220527,,,145.3600006,-0.003311782,0.000482188,0.822140196,0.021970485,-0.009422551,0.00260137
105,AAPL,P,100,20220527,0.03,0.04,145.3399963,-0.005377623,0.000805399,0.757828721,0.034375991,-0.013366172,0.003619523
110,AAPL,P,100,20220527,,,145.3399963,-0.008332023,0.001300837,0.690661839,0.050603779,-0.017926811,0.006045803
115,AAPL,P,100,20220527,,,145.3999939,-0.015275702,0.002364884,0.643676553,0.092320348,-0.028322398,0.009674431
120,AAPL,P,100,20220527,,,145.2899933,-0.027484189,0.004238295,0.592274133,0.163969809,-0.042894393,0.014825025
125,AAPL,P,100,20220527,0.28,0.29,145.3300018,-0.048355147,0.007383064,0.541932795,0.285275104,-0.062563054,0.029688828
130,AAPL,P,100,20220527,,,145.3500061,-0.091095538,0.013018066,0.499489384,0.556170352,-0.093667481,0.040706047
135,AAPL,P,100,20220527,,,145.4400024,-0.165976432,0.021361577,0.462955503,1.074474227,-0.132063429,0.064611215
140,AAPL,P,100,20220527,2.05,2.06,145.3500061,-0.295281909,0.031584791,0.43420725,2.132459045,-0.171259082,0.087194405
145,AAPL,P,100,20220527,3.7,3.8,145.3300018,-0.471891048,0.039019856,0.40644793,3.906500467,-0.184763216,0.100211521
150,AAPL,P,100,20220527,6.35,6.45,145.3040924,-0.672831067,0.037933892,0.378814865,6.649210964,-0.154931413,0.090537617
155,AAPL,P,100,20220527,10,10.15,145.3200073,-0.840106087,0.026876731,0.362771536,10.40178116,-0.099137118,0.058471737
160,AAPL,P,100,20220527,14.45,14.65,145.3200073,-0.934124499,0.014352925,0.362217978,14.91543356,-0.050852664,0.033920489
165,AAPL,P,100,20220527,19.25,19.5,145.3099976,-0.971195136,0.007213796,0.383684025,19.77734352,-0.026846491,0.016904403
170,AAPL,P,100,20220527,24.2,24.4,145.3600006,-0.983966483,0.004189462,0.422255147,24.684945,-0.017586386,0.010979866
175,AAPL,P,100,20220527,,,145.2799988,-0.991589396,0.002434032,0.456017685,29.74009509,-0.010453418,0.006577492
180,AAPL,P,100,20220527,34.1,34.4,145.2799988,-0.994387017,0.001686699,0.498867872,34.73246293,-0.007825606,0.003879689
185,AAPL,P,100,20220527,39.15,39.45,145.1900024,-0.996855692,0.001115962,0.535030934,39.81556731,-0.004784973,0.003061522
190,AAPL,P,100,20220527,,,145.1356049,-0.999502512,0.000492575,0.545444827,44.86457289,-0.000177746,0.000601228
195,AAPL,P,100,20220527,49.15,49.45,145.0899963,-0.999233721,0.000513032,0.601513166,49.9106428,-0.000639141,0.00076913
100,AAPL,P,100,20220603,0.04,0.05,145.0899963,-0.005818803,0.000744204,0.690644627,0.043805338,-0.01021584,0.005183579
105,AAPL,P,100,20220603,0.07,0.08,145.0899963,-0.009851008,0.001259534,0.648451715,0.07342258,-0.015237176,0.007528569
110,AAPL,P,100,20220603,0.11,0.12,145.1157074,-0.015559115,0.002020247,0.59996516,0.112889455,-0.020921066,0.012057505
115,AAPL,P,100,20220603,0.2,0.21,145.1399994,-0.02766528,0.003476374,0.568764229,0.204229585,-0.032350015,0.018509265
120,AAPL,P,100,20220603,0.32,0.33,145.1150055,-0.045473779,0.005640321,0.527943326,0.33391777,-0.045181308,0.030522533
125,AAPL,P,100,20220603,0.54,0.56,145.0599976,-0.076928658,0.009143912,0.491326638,0.575148362,-0.063339754,0.050886585
130,AAPL,P,100,20220603,,,145.0749969,-0.127707172,0.014234698,0.456550543,0.984615277,-0.085063009,0.066121825
135,AAPL,P,100,20220603,1.65,1.67,145.0249939,-0.21069232,0.020957282,0.429320258,1.734490949,-0.110492976,0.096790898
