strike,symbol,right,multiplier,expiration,bid,ask,undPrice,modelDelta,modelGamma,modelIV,modelPrice,modelTheta,modelVega
260,GS,C,100,20220520,,,303.4,0.977544955,0.002232766,0.756566786,43.63194686,-0.167247833,0.018988447
270,GS,C,100,20220520,,,303.4,0.987200364,0.002046981,0.511251313,33.49947455,-0.073710329,0.012886228
280,GS,C,100,20220520,,,303.4,0.951288548,0.006759243,0.47419738,23.73748998,-0.198032872,0.031554977
330,GS,C,100,20220520,,,303.4,0.015210836,0.003269427,0.370939219,0.063009511,-0.056836445,0.014375927
345,GS,C,100,20220520,,,303.4,0.005954518,0.001092518,0.487388553,0.029359603,-0.029359603,0.005755333
255,GS,C,100,20220527,,,303.4,0.972133522,0.002257126,0.539727913,48.78260042,-0.088838298,0.03116547
295,GS,C,100,20220527,,,303.4,0.674690243,0.017605824,0.391335069,13.01780801,-0.344607934,0.182572189
305,GS,C,100,20220527,-1,-1,303.4,0.480453306,0.021159869,0.359069217,6.832123771,-0.347365768,0.209733093
310,GS,C,100,20220527,-1,-1,303.4,0.373220438,0.020805732,0.347460293,4.56616699,-0.319360333,0.203398237
325,GS,C,100,20220603,,,303.4,0.16091146,0.011931844,0.315914924,1.70336155,-0.149339105,0.160911
300,GS,C,100,20220610,-1,-1,303.4,0.56319003,0.015624099,0.343270287,11.90896533,-0.233310384,0.306096335
305,GS,C,100,20220610,-1,-1,303.4,0.483548582,0.01611287,0.333478078,9.165956791,-0.226623876,0.312642681
275,GS,C,100,20220617,,,303.4,0.822291386,0.008207484,0.406311919,31.60290652,-0.174622508,0.242983979
280,GS,C,100,20220617,-1,-1,303.4,0.780923799,0.009451106,0.394633562,27.48799536,-0.188939259,0.245418184
290,GS,C,100,20220617,,,303.4,0.678866037,0.011850362,0.370990562,19.87828637,-0.208100701,0.32392348
305,GS,C,100,20220617,,,303.4,0.485152582,0.013750026,0.341127876,10.72166882,-0.202882662,0.354894874
325,GS,C,100,20220617,,,303.4,0.225999334,0.010882307,0.315065196,3.497168171,-0.136225273,0.277282335
335,GS,C,100,20220617,,,303.4,0.132221916,0.007909738,0.305585929,1.746053486,-0.092977321,0.207185179
