strike,symbol,right,multiplier,expiration,bid,ask,undPrice,modelDelta,modelGamma,modelIV,modelPrice,modelTheta,modelVega
625,TSLA,P,100,20220520,3.65,3.75,724.7000122,-0.086224614,0.001917399,1.083309724,3.431680535,-1.617402935,0.120325745
630,TSLA,P,100,20220520,,,724.7000122,-0.095214537,0.002091664,1.070721998,3.812506859,-1.72357299,0.120816229
640,TSLA,P,100,20220520,5.05,5.15,724.7000122,-0.116796623,0.002476702,1.047224463,4.780620306,-1.95208589,0.155002753
645,TSLA,P,100,20220520,5.6,5.75,724.7000122,-0.128859336,0.002685827,1.034787311,5.32567551,-2.066830528,0.155619752
650,TSLA,P,100,20220520,6.25,6.4,724.7000122,-0.141673823,0.002904131,1.024833771,5.908018831,-2.191939526,0.156247607
655,TSLA,P,100,20220520,,,724.7000122,-0.156427914,0.003130521,1.013258341,6.62612144,-2.30959899,0.191699014
665,TSLA,P,100,20220520,8.6,8.75,724.7000122,-0.189847046,0.003602524,0.998370929,8.319823657,-2.580010594,0.193177714
670,TSLA,P,100,20220520,,,724.7000122,-0.206981702,0.00385032,0.982922516,9.162727555,-2.672599901,0.227634157
675,TSLA,P,100,20220520,10.6,10.8,724.9000244,-0.226624807,0.004076067,0.976494389,10.26117823,-2.793754917,0.228529745
680,TSLA,P,100,20220520,11.95,12.4,724.9000244,-0.2484952,0.004300107,0.976539936,11.55224919,-2.947406156,0.229397793
685,TSLA,P,100,20220520,13.2,13.8,724.9000244,-0.268259537,0.004566969,0.955952032,12.52675462,-2.999428081,0.259649859
690,TSLA,P,100,20220520,14.6,15.2,724.9000244,-0.292265474,0.004779502,0.950276122,14.00952137,-3.10156118,0.260615626
705,TSLA,P,100,20220520,19.5,20.1,724.9000244,-0.368334415,0.005377076,0.927165753,18.86634886,-3.320622268,0.285458384
710,TSLA,P,100,20220520,21.35,22,724.9000244,-0.395442194,0.005551945,0.920648798,20.68190528,-3.380188913,0.286504071
715,TSLA,P,100,20220520,23.35,23.8,724.8800049,-0.423590822,0.005688153,0.911238623,22.72004864,-3.391979169,0.299257587
720,TSLA,P,100,20220520,25.55,26,724.8800049,-0.452405715,0.005802393,0.903101658,24.86957608,-3.398042615,0.300329224
725,TSLA,P,100,20220520,27.7,28.45,724.8800049,-0.481660218,0.005892353,0.898759337,27.14189148,-3.417104077,0.301397546
730,TSLA,P,100,20220520,30.2,30.9,724.8800049,-0.511248314,0.005937122,0.888602049,29.62240567,-3.364967211,0.302434292
735,TSLA,P,100,20220520,32.6,33.6,724.8800049,-0.541106524,0.005950278,0.883101888,32.24454461,-3.330120567,0.303491708
740,TSLA,P,100,20220520,35.45,36.3,724.8800049,-0.571831283,0.005985881,0.8695238,34.76035897,-3.246967359,0.292616232
745,TSLA,P,100,20220520,,,724.8800049,-0.600120441,0.005862746,0.871477161,37.99102817,-3.193733713,0.293617327
750,TSLA,P,100,20220520,41.5,42.3,724.8800049,-0.629690918,0.005784914,0.865926378,41.0011959,-3.110434508,0.294606192
755,TSLA,P,100,20220520,44.85,45.45,724.8800049,-0.658309218,0.005662889,0.85841996,44.21383172,-2.991230383,0.272891386
760,TSLA,P,100,20220520,48.15,48.8,724.8800049,-0.692850563,0.005630799,0.826162361,46.86376997,-2.753278757,0.273820545
765,TSLA,P,100,20220520,51.5,52.45,724.8800049,-0.711686294,0.005294757,0.856932912,51.24496799,-2.785138529,0.269524827
770,TSLA,P,100,20220520,55.1,56.1,724.8800049,-0.738406999,0.005096487,0.844602709,54.80060027,-2.602810789,0.244435151
775,TSLA,P,100,20220520,,,724.8800049,-0.76570665,0.004881459,0.833021461,58.37290684,-2.423560685,0.245194354
780,TSLA,P,100,20220520,62.65,63.75,724.5,-0.787160382,0.004583606,0.840388111,62.84510419,-2.312539303,0.209539092
785,TSLA,P,100,20220520,,,724.5,-0.809254947,0.004315843,0.834215816,66.85099276,-2.143996087,0.210188089
790,TSLA,P,100,20220520,70.75,71.9,724.5,-0.829637154,0.004038729,0.834030579,70.98138049,-2.003972162,0.210653872
795,TSLA,P,100,20220520,74.9,76.15,724.5,-0.847653131,0.003758793,0.830266547,75.25939796,-1.846600286,0.173053679
800,TSLA,P,100,20220520,,,724.5,-0.864310114,0.003478168,0.829929935,79.62086975,-1.70570532,0.17352224
805,TSLA,P,100,20220520,83.4,84.85,724.5,-0.879502058,0.003205517,0.832309487,84.05761666,-1.579411152,0.14669266
810,TSLA,P,100,20220520,89.9,91.55,724.5,-0.892978343,0.002942383,0.830177948,88.58060438,-1.44049402,0.137198614
815,TSLA,P,100,20220520,94.45,96.3,724.5,-0.905721414,0.002684185,0.830684227,93.14010609,-1.313826987,0.137500446
820,TSLA,P,100,20220520,99.1,100.75,724.5,-0.916605656,0.002446428,0.834108868,97.7800845,-1.205584008,0.104118377
625,TSLA,P,100,20220527,,,724.5,-0.162757249,0.002071928,0.946308651,11.10447005,-1.331223267,0.309784085
635,TSLA,P,100,20220527,13.55,13.8,724,-0.18579458,0.00229126,0.935693415,12.91736582,-1.437116504,0.317577378
640,TSLA,P,100,20220527,14.5,14.75,723.9500122,-0.197367729,0.002399808,0.925112788,13.82779764,-1.471003223,0.367983618
645,TSLA,P,100,20220527,15.55,15.8,723.9000244,-0.209939177,0.002508236,0.916706114,14.86335199,-1.509292714,0.369435874
655,TSLA,P,100,20220527,17.55,17.8,723.9000244,-0.236241916,0.002726037,0.903956423,17.05889906,-1.594750642,0.372394287
660,TSLA,P,100,20220527,,,723.9000244,-0.249931747,0.002835952,0.897826752,18.21275523,-1.63647762,0.421558859
670,TSLA,P,100,20220527,21.45,21.7,723.2700195,-0.281682228,0.003057549,0.881860028,21.0715014,-1.698750062,0.424655511
675,TSLA,P,100,20220527,22.85,23.15,723.5,-0.295975586,0.003168286,0.871701857,22.25092156,-1.720836069,0.426371245
680,TSLA,P,100,20220527,24.4,24.7,723.5,-0.312706091,0.003256126,0.872036512,23.94108821,-1.769734253,0.428070292
685,TSLA,P,100,20220527,,,723.5,-0.329307359,0.003350634,0.864100759,25.54990776,-1.787836624,0.465396924
690,TSLA,P,100,20220527,27.7,28,723.5,-0.346426503,0.003442382,0.856132541,27.22953328,-1.802783312,0.46714909
695,TSLA,P,100,20220527,29.5,29.8,723.5,-0.364059892,0.003527938,0.850461272,29.0141308,-1.822915199,0.468898889
700,TSLA,P,100,20220527,31.35,31.7,723.5,-0.382005251,0.003610666,0.845981546,30.85175516,-1.845788985,0.470637738
715,TSLA,P,100,20220527,37.1,37.5,723.5,-0.438131855,0.003808005,0.826815577,37.03156319,-1.858382386,0.4952227
720,TSLA,P,100,20220527,39.35,39.75,723.5,-0.45748238,0.003865518,0.821471789,39.20624517,-1.861769469,0.497015372
725,TSLA,P,100,20220527,41.65,42.1,723.5,-0.476861089,0.003894995,0.819771475,41.6811534,-1.867841729,0.498787173
730,TSLA,P,100,20220527,44.05,44.5,723.5499878,-0.496340933,0.003928234,0.811712085,44.08792122,-1.846674245,0.500578768
735,TSLA,P,100,20220527,,,723.5499878,-0.516194928,0.003950428,0.806020656,46.63640933,-1.830664488,0.502348027
740,TSLA,P,100,20220527,49.2,49.7,723.5056152,-0.536241425,0.00396133,0.802688865,49.3247905,-1.819876603,0.504074771
745,TSLA,P,100,20220527,52,52.55,723.5056152,-0.557070235,0.003998732,0.791869422,51.71463691,-1.787259404,0.486047113
750,TSLA,P,100,20220527,54.75,55.45,723.8699951,-0.574574538,0.003959599,0.791160694,54.67860311,-1.767885056,0.487805899
755,TSLA,P,100,20220527,,,724.1099854,-0.593507028,0.003942765,0.785419895,57.47073296,-1.735458296,0.489558961
775,TSLA,P,100,20220527,,,724.2999878,-0.669905154,0.003766356,0.767586101,70.12288115,-1.581542527,0.458085743
795,TSLA,P,100,20220527,-1,-1,724.293396,-0.740912753,0.003433357,0.753015594,84.47184123,-1.384244694,0.411525887
815,TSLA,P,100,20220527,-1,-1,724,-0.803590863,0.002983148,0.742038697,100.4637391,-1.163155825,0.354824835
630,TSLA,P,100,20220603,-1,-1,724,-0.20709317,0.002041649,0.873051217,18.11325112,-1.11354274,0.466162587
640,TSLA,P,100,20220603,-1,-1,723.9486084,-0.228828675,0.002195126,0.861706832,20.31566575,-1.165922268,0.469987331
660,TSLA,P,100,20220603,-1,-1,723.7000122,-0.277159821,0.002500345,0.835913349,25.45904573,-1.248190743,0.538385212
665,TSLA,P,100,20220603,-1,-1,723.7000122,-0.290211262,0.002571913,0.831619934,26.93183064,-1.270592791,0.54049102
675,TSLA,P,100,20220603,-1,-1,723.5300293,-0.317475385,0.002714997,0.822085971,30.05324879,-1.309702886,0.589999259
685,TSLA,P,100,20220603,-1,-1,723.5300293,-0.345716084,0.002848874,0.807963284,33.37775673,-1.326967489,0.594531656
690,TSLA,P,100,20220603,-1,-1,723.5300293,-0.360356464,0.002911965,0.80284198,35.15023989,-1.338972406,0.596778085
705,TSLA,P,100,20220603,-1,-1,723.75,-0.405177226,0.003076067,0.787506323,40.86745472,-1.360913744,0.628200835
720,TSLA,P,100,20220603,-1,-1,723.0999756,-0.455066915,0.003212342,0.773242713,47.64686365,-1.3667163,0.63483864
725,TSLA,P,100,20220603,-1,-1,723,-0.471596756,0.003243379,0.769457354,50.07565931,-1.365708151,0.637080037
745,TSLA,P,100,20220603,-1,-1,723.5,,,0.749177914,59.961063,-1.326158707,0.646310719
625,TSLA,P,100,20220610,,,723,-0.222906588,0.001838522,0.861196104,23.50204494,-0.971778351,0.545730144
655,TSLA,P,100,20220610,,,723.0200195,-0.285260345,0.002176326,0.828060177,31.38950207,-1.062601368,0.630609415
670,TSLA,P,100,20220610,-1,-1,723.0100098,-0.320246182,0.002330915,0.814815643,36.21068023,-1.101358124,0.69120905
680,TSLA,P,100,20220610,-1,-1,722.7999878,-0.345093709,0.002437097,0.801811488,39.59739648,-1.113928236,0.69650645
685,TSLA,P,100,20220610,-1,-1,722.7999878,-0.357728716,0.002484144,0.797684196,41.41600083,-1.123546682,0.69919603
695,TSLA,P,100,20220610,-1,-1,722.7700195,-0.383597821,0.002572047,0.790558925,45.25879555,-1.142050706,0.733211941
730,TSLA,P,100,20220610,-1,-1,723.0001221,-0.478834483,0.002797805,0.756240368,60.63809904,-1.135200538,0.752421701
760,TSLA,P,100,20220610,-1,-1,723.4899902,-0.563429151,0.00286448,0.729802767,76.32354453,-1.081322606,0.738563075
765,TSLA,P,100,20220610,-1,-1,723.4899902,-0.577637668,0.002858731,0.725958087,79.299887,-1.067296436,0.741093411
770,TSLA,P,100,20220610,-1,-1,723.4799805,-0.592060792,0.002853033,0.721994715,82.27167228,-1.053012112,0.743528102
780,TSLA,P,100,20220610,-1,-1,723.3900146,-0.620426722,0.002824843,0.718322662,88.58275608,-1.030784786,0.736071577
785,TSLA,P,100,20220610,-1,-1,723.3900146,-0.633962723,0.002801512,0.713977253,91.89282492,-1.009300913,0.693299356
800,TSLA,P,100,20220610,-1,-1,723.3900146,-0.675286,0.002723071,0.701983727,101.8855,-0.946408302,0.699927706
805,TSLA,P,100,20220610,-1,-1,723.3900146,-0.688738078,0.002690081,0.699827653,105.3441392,-0.928571195,0.701768659
810,TSLA,P,100,20220610,-1,-1,723.4799805,-0.701025392,0.00264975,0.697871746,108.9329259,-0.909111127,0.624953257
820,TSLA,P,100,20220610,-1,-1,723.4799805,-0.72631296,0.002563316,0.689677373,116.2613545,-0.857335464,0.628818697
625,TSLA,P,100,20220617,-1,-1,723.4799805,-0.238763914,0.00170614,0.853150457,29.2686572,-0.885153918,0.695126394
630,TSLA,P,100,20220617,-1,-1,723.4799805,-0.247881375,0.001751314,0.846626853,30.57806045,-0.894585123,0.698030333
635,TSLA,P,100,20220617,-1,-1,723.4799805,-0.257258231,0.001796233,0.84093253,31.94188798,-0.90506806,0.700920232
645,TSLA,P,100,20220617,-1,-1,723.4799805,-0.276592565,0.001886063,0.831168491,34.77479429,-0.928072299,0.706715201
650,TSLA,P,100,20220617,-1,-1,723.4799805,-0.286565966,0.00193011,0.827439462,36.26845168,-0.941091433,0.709640654
660,TSLA,P,100,20220617,-1,-1,723.4799805,,,0.818020478,39.36584562,-0.960855143,0.774841949
670,TSLA,P,100,20220617,-1,-1,723.1500244,,,0.806378798,42.84223673,,
