,strike,bidDelta,bidGamma,askDelta,askGamma,modelDelta,modelGamma,modelIV,modelPrice,modelTheta,modelVega
0,70,,,,,-0.007826163,0.002538655,1.018534904,0.02272928,-0.02272928,0.002049772
1,75,,,,,-0.033556548,0.009280156,0.966515439,0.110553578,-0.092354203,0.00718285
2,80,,,,,-0.123101322,0.026346949,0.92804276,0.492603671,-0.241659931,0.01729402
3,85,,,,,-0.314839619,0.0476887,0.896727628,1.594844354,-0.408142658,0.02886152
4,90,,,,,-0.581493609,0.05495756,0.85550122,3.851174526,-0.427509383,0.032194788
5,95,,,,,-0.819655488,0.038441785,0.822413141,7.424652866,-0.275285304,0.023069365
6,100,,,,,-0.942790442,0.016843947,0.824880825,11.9388657,-0.119897987,0.010298647
7,105,,,,,-0.981231378,0.006416441,0.873426636,16.82499495,-0.044994951,0.003894505
8,70,,,,,-0.052898931,0.008136443,0.897050622,0.315711128,-0.069692794,0.016944633
9,75,,,,,-0.111807437,0.015215539,0.847030588,0.725507266,-0.116142914,0.029615978
10,80,,,,,-0.212590317,0.024568402,0.800640761,1.534390153,-0.167432655,0.043926441
11,85,,,,,-0.360924959,0.033235419,0.763640049,2.998423737,-0.205806715,0.055367721
12,90,,,,,-0.540877841,0.037256006,0.72366374,5.249442681,-0.206747319,0.059357884
13,95,,,,,-0.719486176,0.03317392,0.690294589,8.439128212,-0.166806448,0.048007936
14,100,,,,,-0.854532416,0.023100324,0.671985168,12.47417344,-0.109097697,0.034312695
15,105,,,,,-0.932106798,0.013329778,0.673365799,17.05134315,-0.062044351,0.020735632
16,70,,,,,-0.085597384,0.009784387,0.834786892,0.682478732,-0.072508723,0.029079474
17,75,,,,,-0.150934811,0.015459999,0.791388126,1.292557774,-0.102893596,0.046871561
18,80,,,,,-0.246827244,0.022036288,0.751929308,2.298995139,-0.132271649,0.064155779
19,85,,,,,-0.375068939,0.027622193,0.718994131,3.927158488,-0.151364757,0.071726837
20,90,,,,,-0.522968828,0.030455893,0.68413732,6.212247601,-0.150729382,0.076907182
21,95,,,,,-0.672061166,0.02881836,0.655884615,9.268550271,-0.130530817,0.070147267
22,100,,,,,-0.798315715,0.023177844,0.636169386,13.04711675,-0.098002174,0.054383018
23,105,,,,,-0.886562393,0.016112962,0.628295167,17.3832179,-0.065511985,0.035763236
24,70,,,,,0.99217441,0.002538464,1.018534911,17.85824468,-0.022727656,0.002049768
25,75,,,,,0.962277376,0.010236503,0.966515439,12.96210352,-0.102781938,0.007167203
26,80,,,,,0.866426334,0.028033437,0.92804276,8.378047919,-0.256784892,0.017256427
27,85,,,,,0.666672545,0.049118212,0.896727627,4.553284348,-0.418696695,0.031198103
28,90,,,,,0.397448363,0.054411096,0.85550122,1.92255674,-0.421628053,0.032125742
29,95,,,,,0.165154604,0.036576774,0.82241314,0.578197325,-0.261771317,0.019910637
30,100,,,,,0.051823505,0.015506036,0.824880826,0.145784524,-0.111602969,0.008304366
31,105,,,,,0.019254141,0.006423149,0.873426636,0.050324761,-0.050324761,0.003952329
32,70,,,,,0.947109543,0.00813504,0.897050622,18.55301132,-0.071370809,0.016944389
33,75,,,,,0.888531566,0.015178909,0.847030588,13.9815626,-0.117726821,0.029618653
34,80,,,,,0.787954578,0.024523914,0.800640761,9.789506755,-0.169137225,0.043930121
35,85,,,,,0.639163655,0.033224288,0.763640049,6.238867571,-0.207789886,0.055366141
36,90,,,,,0.459292745,0.037236447,0.72366374,3.490469441,-0.208811393,0.059362262
37,95,,,,,0.280819171,0.033144211,0.690294589,1.68001115,-0.168949831,0.048023313
38,100,,,,,,,0.671985168,0.714361694,,
39,105,,,,,0.068864048,0.01331673,0.6733658,0.291487572,-0.064547752,0.020902584
40,70,,,,,0.914611074,0.009763064,0.834786892,18.94988657,-0.074073355,0.029081469
41,75,,,,,0.84910681,0.015455076,0.791388126,14.54349316,-0.104671253,0.046870085
42,80,,,,,0.753715916,0.022003626,0.751929308,10.56604145,-0.134067215,0.064160553
43,85,,,,,0.625067432,0.027607699,0.718994131,7.181433855,-0.153337013,0.071721169
44,90,,,,,0.477268917,0.030432956,0.68413732,4.467582176,-0.152788001,0.076911148
45,95,,,,,0.328329817,0.028784228,0.655884615,2.524254036,-0.132668412,0.070174494
46,100,,,,,0.202748863,0.023157413,0.636169386,1.306340289,-0.10037567,0.054467203
47,105,,,,,0.114282735,0.01605366,0.628295167,0.636751835,-0.067799044,0.035918594
