DATE,DGS1MO,DGS6MO,GS1,GS3,GS5,GS7,GS10,GS20,GS30
01/06/2017,0.82,1.07,1.2,1.49,1.77,2.01,2.19,2.54,2.8
01/07/2017,0.82,1.07,1.22,1.54,1.87,2.13,2.32,2.65,2.88
01/08/2017,1,1.15,1.23,1.48,1.78,2.03,2.21,2.55,2.8
01/09/2017,0.96,1.1,1.28,1.51,1.8,2.03,2.2,2.53,2.78
01/10/2017,0.96,1.1,1.4,1.68,1.98,2.2,2.36,2.65,2.88
01/11/2017,1.06,1.3,1.56,1.81,2.05,2.23,2.35,2.6,2.8
01/12/2017,1.14,1.45,1.7,1.96,2.18,2.32,2.4,2.6,2.77
01/01/2018,1.14,1.45,1.8,2.15,2.38,2.51,2.58,2.73,2.88
01/02/2018,1.41,1.64,1.96,2.36,2.6,2.78,2.86,3.02,3.13
01/03/2018,1.5,1.85,2.06,2.42,2.63,2.77,2.84,2.97,3.09
01/04/2018,1.5,1.85,2.15,2.52,2.7,2.82,2.87,2.96,3.07
01/05/2018,1.68,2.05,2.27,2.66,2.82,2.93,2.98,3.05,3.13
01/06/2018,1.74,2.1,2.33,2.65,2.78,2.87,2.91,2.98,3.05
01/07/2018,1.74,2.1,2.39,2.7,2.78,2.85,2.89,2.94,3.01
01/08/2018,1.93,2.22,2.45,2.71,2.77,2.84,2.89,2.97,3.04
01/09/2018,1.93,2.22,2.56,2.84,2.89,2.96,3,3.08,3.15
01/10/2018,2.13,2.4,2.65,2.94,3,3.09,3.15,3.27,3.34
01/11/2018,2.21,2.49,2.7,2.91,2.95,3.04,3.12,3.27,3.36
01/12/2018,2.21,2.49,2.66,2.67,2.68,2.75,2.83,2.98,3.1
01/01/2019,2.21,2.49,2.58,2.52,2.54,2.61,2.71,2.89,3.04
01/02/2019,2.41,2.46,2.55,2.48,2.49,2.57,2.68,2.87,3.02
01/03/2019,2.44,2.52,2.49,2.37,2.37,2.47,2.57,2.8,2.98
01/04/2019,2.42,2.46,2.42,2.31,2.33,2.43,2.53,2.76,2.94
01/05/2019,2.42,2.44,2.34,2.16,2.19,2.29,2.4,2.63,2.82
01/06/2019,2.42,2.44,2,1.78,1.83,1.95,2.07,2.36,2.57
01/07/2019,2.17,2.1,1.96,1.8,1.83,1.93,2.06,2.36,2.57
01/08/2019,2.11,2.04,1.77,1.51,1.49,1.55,1.63,1.91,2.12
01/09/2019,2.11,2.04,1.8,1.59,1.57,1.64,1.7,1.97,2.16
01/10/2019,1.79,1.81,1.61,1.53,1.53,1.62,1.71,2,2.19
01/11/2019,1.58,1.55,1.57,1.61,1.64,1.74,1.81,2.13,2.28
01/12/2019,1.58,1.55,1.55,1.63,1.68,1.79,1.86,2.16,2.3
01/01/2020,1.58,1.55,1.53,1.52,1.56,1.67,1.76,2.07,2.22
01/02/2020,1.58,1.55,1.41,1.31,1.32,1.42,1.5,1.81,1.97
01/03/2020,1.58,1.55,0.33,0.5,0.59,0.78,0.87,1.26,1.46
01/04/2020,0.03,0.14,0.18,0.28,0.39,0.55,0.66,1.06,1.27
01/05/2020,0.1,0.12,0.16,0.22,0.34,0.53,0.67,1.12,1.38
01/06/2020,0.12,0.18,0.18,0.22,0.34,0.55,0.73,1.27,1.49
01/07/2020,0.12,0.17,0.15,0.17,0.28,0.46,0.62,1.09,1.31
01/08/2020,0.12,0.17,0.13,0.16,0.27,0.46,0.65,1.14,1.36
01/09/2020,0.09,0.13,0.13,0.16,0.27,0.46,0.68,1.21,1.42
01/10/2020,0.09,0.1,0.13,0.19,0.34,0.55,0.79,1.34,1.57
01/11/2020,0.09,0.1,0.12,0.22,0.39,0.63,0.87,1.4,1.62
01/12/2020,0.07,0.1,0.1,0.19,0.39,0.66,0.93,1.47,1.67
01/01/2021,0.07,0.1,0.1,0.2,0.45,0.77,1.08,1.63,1.82
01/02/2021,0.06,0.08,0.07,0.21,0.54,0.91,1.26,1.88,2.04
01/03/2021,0.03,0.07,0.08,0.32,0.82,1.27,1.61,2.24,2.34
01/04/2021,0.02,0.04,0.06,0.35,0.86,1.31,1.64,2.2,2.3
01/05/2021,0.02,0.04,0.05,0.32,0.82,1.28,1.62,2.22,2.32
01/06/2021,0.01,0.04,0.07,0.39,0.84,1.23,1.52,2.09,2.16
01/07/2021,0.05,0.05,0.08,0.4,0.76,1.07,1.32,1.87,1.94
01/08/2021,0.05,0.05,0.07,0.42,0.77,1.06,1.28,1.83,1.92
01/09/2021,0.04,0.06,0.08,0.47,0.86,1.16,1.37,1.87,1.94
01/10/2021,0.08,0.05,0.11,0.67,1.11,1.4,1.58,2.03,2.06
01/11/2021,0.05,0.06,0.18,0.82,1.2,1.45,1.56,1.97,1.94
01/12/2021,0.09,0.1,0.3,0.95,1.23,1.4,1.47,1.9,1.85
01/01/2022,0.09,0.1,0.55,1.25,1.54,1.7,1.76,2.15,2.1
01/02/2022,0.04,0.48,1,1.65,1.81,1.91,1.93,2.31,2.25
01/03/2022,0.11,0.6,1.34,2.09,2.11,2.15,2.13,2.51,2.41
01/04/2022,0.15,1.09,1.89,2.72,2.78,2.8,2.75,2.99,2.81
